Dataset,Error_Type,Severity,cells_changed_pct,labels_changed_pct,row_delta,col_delta,magnitude,renames,problem,total_change
Breast Cancer,typographical_errors,high,0.0,0.0,0,0,0.0,0,,0.0
Breast Cancer,data_drift,low,9.89010989010989,0.0,0,0,24135.60957778425,0,,19.981594926587114
Breast Cancer,data_drift,medium,20.0,0.0,0,0,48807.566035074815,0,,30.795661109942667
Breast Cancer,data_drift,high,29.89010989010989,0.0,0,0,72943.17561285905,0,,41.08755960006267
Breast Cancer,data_leakage,low,3.3186813186813184,0.0,0,0,10.10606,0,,5.726172223971284
Breast Cancer,data_leakage,medium,3.326007326007326,0.0,0,0,9.528459999999999,0,,5.680089392644894
Breast Cancer,data_leakage,high,3.326007326007326,0.0,0,0,9.510959999999999,0,,5.678425848304245
Breast Cancer,redundant_features,low,0.0,0.0,0,3,0.0,0,,3.0
Breast Cancer,redundant_features,medium,0.0,0.0,0,6,0.0,0,,6.0
Breast Cancer,redundant_features,high,0.0,0.0,0,9,0.0,0,,9.0
Breast Cancer,annotator_bias,low,0.0,5.054945054945055,0,0,0.0,0,,5.054945054945055
Breast Cancer,annotator_bias,medium,0.0,9.89010989010989,0,0,0.0,0,,9.89010989010989
Breast Cancer,annotator_bias,high,0.0,14.945054945054945,0,0,0.0,0,,14.945054945054945
Breast Cancer,ambiguous_labels,low,0.0,4.835164835164836,0,0,0.0,0,,4.835164835164836
Breast Cancer,ambiguous_labels,medium,0.0,9.89010989010989,0,0,0.0,0,,9.89010989010989
Breast Cancer,ambiguous_labels,high,0.0,14.945054945054945,0,0,0.0,0,,14.945054945054945
Breast Cancer,domain_violations,low,4.864468864468865,0.0,0,0,125098.7159219,0,,16.601335290113134
Breast Cancer,domain_violations,medium,9.428571428571429,0.0,0,0,262691.8334517,0,,21.907312123521592
Breast Cancer,domain_violations,high,13.97069597069597,0.0,0,0,423605.15608879994,0,,26.927255396087297
Breast Cancer,data_heterogeneity,low,10.0,0.0,0,0,186274.09785373803,0,,22.134979880740474
Breast Cancer,data_heterogeneity,medium,19.83882783882784,0.0,0,0,33197.71002500232,0,,30.249094138308955
Breast Cancer,data_heterogeneity,high,29.75824175824176,0.0,0,0,97151.93427455286,0,,41.24228341613784
Breast Cancer,concept_drift,low,0.0,9.89010989010989,0,0,0.0,0,,9.89010989010989
Breast Cancer,concept_drift,medium,0.0,20.0,0,0,0.0,0,,20.0
Breast Cancer,concept_drift,high,0.0,29.89010989010989,0,0,0.0,0,,29.89010989010989
Breast Cancer,data_representativeness,low,,,-17,0,0.0,0,,17.0
Breast Cancer,data_representativeness,medium,,,-34,0,0.0,0,,34.0
Breast Cancer,data_representativeness,high,,,-51,0,0.0,0,,51.0
Breast Cancer,imbalanced_feature_distribution,low,6.989010989010989,0.0,0,0,108067.39213203061,0,,18.5795305551743
Breast Cancer,imbalanced_feature_distribution,medium,13.978021978021978,0.0,0,0,111516.23960322946,0,,25.59995645122818
Breast Cancer,imbalanced_feature_distribution,high,20.967032967032967,0.0,0,0,268335.2642783457,0,,33.46702915748235
Breast Cancer,provenance_issues,low,9.714285714285714,0.0,0,0,32176.619345093888,0,,20.09331215276341
Breast Cancer,provenance_issues,medium,19.912087912087912,0.0,0,0,68548.21374334172,0,,31.04739512718534
Breast Cancer,provenance_issues,high,29.714285714285715,0.0,0,0,101251.34365818786,0,,41.23965684622797
Breast Cancer,contextual_errors,low,4.93040293040293,0.0,0,0,2261617.0708180526,0,,19.56199400601288
Breast Cancer,contextual_errors,medium,9.443223443223443,0.0,0,0,4129525.349356374,0,,24.676896716197923
Breast Cancer,contextual_errors,high,13.882783882783883,0.0,0,0,5781307.478282702,0,,29.45292447813801
Breast Cancer,missing_values_mnar,low,9.025641025641026,0.0,0,0,114033.515965,0,,20.669897478814384
Breast Cancer,missing_values_mnar,medium,16.57875457875458,0.0,0,0,204595.421999,0,,28.807549223315405
Breast Cancer,missing_values_mnar,high,23.01831501831502,0.0,0,0,268732.701102,0,,35.519791227837594
Breast Cancer,duplicates_targeted,low,,,22,0,0.0,0,,22.0
Breast Cancer,duplicates_targeted,medium,,,45,0,0.0,0,,45.0
Breast Cancer,duplicates_targeted,high,,,68,0,0.0,0,,68.0
Breast Cancer,outliers_targeted,low,0.9890109890109889,0.0,0,0,58322.98835485168,0,,11.962779740784084
Breast Cancer,outliers_targeted,medium,4.608058608058608,0.0,0,0,253560.90392026858,0,,17.051421877184904
Breast Cancer,outliers_targeted,high,8.747252747252746,0.0,0,0,502904.5966036826,0,,21.87541049801201
Breast Cancer,duplicates_minority,low,,,22,0,0.0,0,,22.0
Breast Cancer,duplicates_minority,medium,,,45,0,0.0,0,,45.0
Breast Cancer,duplicates_minority,high,,,68,0,0.0,0,,68.0
Breast Cancer,label_noise_asymmetric,low,0.0,4.835164835164836,0,0,0.0,0,,4.835164835164836
Breast Cancer,label_noise_asymmetric,medium,0.0,9.89010989010989,0,0,0.0,0,,9.89010989010989
Breast Cancer,label_noise_asymmetric,high,0.0,14.945054945054945,0,0,0.0,0,,14.945054945054945
Breast Cancer,feature_noise_targeted,low,33.33333333333333,0.0,0,0,30677.943771900824,0,,43.66466516096963
Breast Cancer,feature_noise_targeted,medium,33.33333333333333,0.0,0,0,93329.10422948185,0,,44.777231328676834
Breast Cancer,feature_noise_targeted,high,33.33333333333333,0.0,0,0,160236.66993410347,0,,45.3177467624671
German Credit,missing_values,low,9.493749999999999,0.0,0,0,239738.0,0,,21.881056110566938
German Credit,missing_values,medium,18.18125,0.0,0,0,451947.0,0,,31.20257240794848
German Credit,missing_values,high,25.9875,0.0,0,0,657239.0,0,,39.38330452756577
German Credit,label_noise,low,0.0,5.0,0,0,0.0,0,,5.0
German Credit,label_noise,medium,0.0,10.0,0,0,0.0,0,,10.0
German Credit,label_noise,high,0.0,15.0,0,0,0.0,0,,15.0
German Credit,duplicates,low,,,40,0,0.0,0,,40.0
German Credit,duplicates,medium,,,80,0,0.0,0,,80.0
German Credit,duplicates,high,,,120,0,0.0,0,,120.0
German Credit,outliers,low,0.35000000000000003,0.0,0,0,94944.84044511625,0,,11.81106190743583
German Credit,outliers,medium,1.7500000000000002,0.0,0,0,464355.0047255812,0,,14.798406788585131
German Credit,outliers,high,3.5000000000000004,0.0,0,0,877639.4105715118,0,,17.184992233568902
German Credit,invalid_values,low,0.6875,0.0,0,0,435793.0,0,,13.672424933614494
German Credit,invalid_values,medium,1.7125000000000001,0.0,0,0,1075094.0,0,,15.60041958773234
German Credit,invalid_values,high,3.31875,0.0,0,0,2001576.0,0,,17.82819592782141
German Credit,class_imbalance,low,,,-24,0,0.0,0,,24.0
German Credit,class_imbalance,medium,,,-60,0,0.0,0,,60.0
German Credit,class_imbalance,high,,,-96,0,0.0,0,,96.0
German Credit,feature_noise,low,35.0,0.0,0,0,87778.21608311508,0,,46.38258003272975
German Credit,feature_noise,medium,35.0,0.0,0,0,261654.36834144272,0,,47.47478352885127
German Credit,feature_noise,high,35.0,0.0,0,0,456813.1807076619,0,,48.03203198042279
German Credit,categorical_errors,low,3.15,0.0,0,0,0.0,0,,3.15
German Credit,categorical_errors,medium,6.01875,0.0,0,0,0.0,0,,6.01875
German Credit,categorical_errors,high,8.74375,0.0,0,0,0.0,0,,8.74375
German Credit,data_inconsistency,low,0.42500000000000004,0.0,0,0,19706.0,0,,10.313729181560584
German Credit,data_inconsistency,medium,0.9249999999999999,0.0,0,0,105486.0,0,,12.491343001556897
German Credit,data_inconsistency,high,1.4125,0.0,0,0,150782.0,0,,13.336096996105761
German Credit,typographical_errors,low,3.11875,0.0,0,0,0.0,0,,3.11875
German Credit,typographical_errors,medium,6.0874999999999995,0.0,0,0,0.0,0,,6.0874999999999995
German Credit,typographical_errors,high,8.80625,0.0,0,0,0.0,0,,8.80625
German Credit,data_drift,low,3.5000000000000004,0.0,0,0,111907.7911813953,0,,15.125439454050538
German Credit,data_drift,medium,7.000000000000001,0.0,0,0,223815.5823627906,0,,19.31858216667627
German Credit,data_drift,high,10.5,0.0,0,0,335723.37354418583,0,,23.22404578546859
German Credit,data_leakage,low,3.5749999999999997,0.0,0,0,1174.0,0,,10.64402342657826
German Credit,data_leakage,medium,3.5437499999999997,0.0,0,0,1163.0,0,,10.603367628291382
German Credit,data_leakage,high,3.35625,0.0,0,0,1085.0,0,,10.34650650049388
German Credit,redundant_features,low,0.0,0.0,0,2,0.0,0,,2.0
German Credit,redundant_features,medium,0.0,0.0,0,4,0.0,0,,4.0
German Credit,redundant_features,high,0.0,0.0,0,6,0.0,0,,6.0
German Credit,annotator_bias,low,0.0,8.125,0,0,0.0,0,,8.125
German Credit,annotator_bias,medium,0.0,10.625,0,0,0.0,0,,10.625
German Credit,annotator_bias,high,0.0,20.25,0,0,0.0,0,,20.25
German Credit,ambiguous_labels,low,0.0,5.0,0,0,0.0,0,,5.0
German Credit,ambiguous_labels,medium,0.0,10.0,0,0,0.0,0,,10.0
German Credit,ambiguous_labels,high,0.0,15.0,0,0,0.0,0,,15.0
German Credit,domain_violations,low,1.69375,0.0,0,0,755079.5,0,,15.22832964506394
German Credit,domain_violations,medium,3.38125,0.0,0,0,1240415.5,0,,17.412207768280553
German Credit,domain_violations,high,4.9,0.0,0,0,2023350.0,0,,19.42026560579568
German Credit,data_heterogeneity,low,5.0,0.0,0,0,7416.651117769317,0,,13.911617725097901
German Credit,data_heterogeneity,medium,5.0,0.0,0,0,176941.54251422134,0,,17.083580340292233
German Credit,data_heterogeneity,high,10.0,0.0,0,0,19937.378802826828,0,,19.90040173644053
German Credit,concept_drift,low,0.0,10.0,0,0,0.0,0,,10.0
German Credit,concept_drift,medium,0.0,20.0,0,0,0.0,0,,20.0
German Credit,concept_drift,high,0.0,30.0,0,0,0.0,0,,30.0
German Credit,data_representativeness,low,,,-24,0,0.0,0,,24.0
German Credit,data_representativeness,medium,,,-48,0,0.0,0,,48.0
German Credit,data_representativeness,high,,,-72,0,0.0,0,,72.0
German Credit,imbalanced_feature_distribution,low,3.5000000000000004,0.0,0,0,5916.300817023015,0,,12.185635680833968
German Credit,imbalanced_feature_distribution,medium,3.5000000000000004,0.0,0,0,1350172.4031198712,0,,17.615743588921497
German Credit,imbalanced_feature_distribution,high,7.000000000000001,0.0,0,0,11738.42275731009,0,,16.370707923289963
German Credit,provenance_issues,low,3.5000000000000004,0.0,0,0,93974.25595618621,0,,14.950786792091199
German Credit,provenance_issues,medium,7.000000000000001,0.0,0,0,210974.51443400176,0,,19.25949736038794
German Credit,provenance_issues,high,10.5,0.0,0,0,366421.19685977267,0,,23.31154149089632
German Credit,contextual_errors,low,1.675,0.0,0,0,9339786.157162696,0,,17.724794021633024
German Credit,contextual_errors,medium,3.3375000000000004,0.0,0,0,15769245.47982993,0,,19.91107217592255
German Credit,contextual_errors,high,4.89375,0.0,0,0,24354980.01182054,0,,21.901996945580535
German Credit,missing_values_mnar,low,9.325,0.0,0,0,269143.0,0,,21.828001831338618
German Credit,missing_values_mnar,medium,17.78125,0.0,0,0,417589.0,0,,30.723505368903695
German Credit,missing_values_mnar,high,24.9375,0.0,0,0,703082.0,0,,38.40073022925748
German Credit,duplicates_targeted,low,,,40,0,0.0,0,,40.0
German Credit,duplicates_targeted,medium,,,80,0,0.0,0,,80.0
German Credit,duplicates_targeted,high,,,120,0,0.0,0,,120.0
German Credit,outliers_targeted,low,0.3375,0.0,0,0,310055.4188121386,0,,12.982009556070224
German Credit,outliers_targeted,medium,1.625,0.0,0,0,1540353.4522410228,0,,15.872523111699062
German Credit,outliers_targeted,high,2.9250000000000003,0.0,0,0,2501078.717293628,0,,17.657233083519568
German Credit,duplicates_minority,low,,,40,0,0.0,0,,40.0
German Credit,duplicates_minority,medium,,,80,0,0.0,0,,80.0
German Credit,duplicates_minority,high,,,120,0,0.0,0,,120.0
German Credit,label_noise_asymmetric,low,0.0,5.0,0,0,0.0,0,,5.0
German Credit,label_noise_asymmetric,medium,0.0,10.0,0,0,0.0,0,,10.0
German Credit,label_noise_asymmetric,high,0.0,15.0,0,0,0.0,0,,15.0
German Credit,feature_noise_targeted,low,10.0,0.0,0,0,162806.4382563217,0,,22.000323421041987
German Credit,feature_noise_targeted,medium,10.0,0.0,0,0,482695.1139112291,0,,23.087142570883277
German Credit,feature_noise_targeted,high,10.0,0.0,0,0,803170.969751641,0,,23.596324129093066
Adult Income,missing_values,low,9.517000882163135,0.0,0,0,439426117.0,0,,29.417981038457075
Adult Income,missing_values,medium,18.13703723438897,0.0,0,0,835567712.0,0,,38.680659181988034
Adult Income,missing_values,high,25.890007874342082,0.0,0,0,1204694175.0,0,,46.799499450168874
Adult Income,label_noise,low,0.0,4.998135024244685,0,0,0.0,0,,4.998135024244685
Adult Income,label_noise,medium,0.0,9.99627004848937,0,0,0.0,0,,9.99627004848937
Adult Income,label_noise,high,0.0,14.998549463301423,0,0,0.0,0,,14.998549463301423
Adult Income,duplicates,low,,,1206,0,0.0,0,,1206.0
Adult Income,duplicates,medium,,,2412,0,0.0,0,,2412.0
Adult Income,duplicates,high,,,3619,0,0.0,0,,3619.0
Adult Income,outliers,low,0.42805634002948434,0.0,0,0,111218319.65775588,0,,18.955062020356284
Adult Income,outliers,medium,2.1420578675334365,0.0,0,0,546100019.4158169,0,,22.26037057204058
Adult Income,outliers,high,4.284115735066873,0.0,0,0,1110279803.9441884,0,,25.111993632097874
Adult Income,invalid_values,low,0.8498960942079182,0.0,0,0,96724289.0,0,,19.23727121233379
Adult Income,invalid_values,medium,2.0884768180553333,0.0,0,0,236761873.0,0,,21.371042260999182
Adult Income,invalid_values,high,4.091993629479642,0.0,0,0,467377585.0,0,,24.054641653756107
Adult Income,class_imbalance,low,,,-600,0,0.0,0,,600.0
Adult Income,class_imbalance,medium,,,-1501,0,0.0,0,,1501.0
Adult Income,class_imbalance,high,,,-2402,0,0.0,0,,2402.0
Adult Income,feature_noise,low,42.857142857142854,0.0,0,0,109045837.17985779,0,,61.36442174269689
Adult Income,feature_noise,medium,42.857142857142854,0.0,0,0,328245759.87352467,0,,62.466416013883794
Adult Income,feature_noise,high,42.857142857142854,0.0,0,0,549088694.3248327,0,,62.980913401536306
Adult Income,categorical_errors,low,2.7654926200245113,0.0,0,0,0.0,0,,2.7654926200245113
Adult Income,categorical_errors,medium,5.37468251007975,0.0,0,0,0.0,0,,5.37468251007975
Adult Income,categorical_errors,high,7.789974127161743,0.0,0,0,0.0,0,,7.789974127161743
Adult Income,data_inconsistency,low,0.6648786581647455,0.0,0,0,151138744.0,0,,19.498587472127504
Adult Income,data_inconsistency,medium,1.3392302090549013,0.0,0,0,307937054.0,0,,20.884636162223874
Adult Income,data_inconsistency,high,2.0224625968751293,0.0,0,0,460422446.0,0,,21.970117585928683
Adult Income,typographical_errors,low,2.7782218196242816,0.0,0,0,0.0,0,,2.7782218196242816
Adult Income,typographical_errors,medium,5.409021746209363,0.0,0,0,0.0,0,,5.409021746209363
Adult Income,typographical_errors,high,7.91312173259208,0.0,0,0,0.0,0,,7.91312173259208
Adult Income,data_drift,low,4.284115735066873,0.0,0,0,137434766.52972928,0,,23.02277567960036
Adult Income,data_drift,medium,8.57000763751976,0.0,0,0,274926512.64757204,0,,28.002022034340413
Adult Income,data_drift,high,12.855899539972649,0.0,0,0,412418258.7654148,0,,32.69344812593129
Adult Income,data_leakage,low,7.142561114959474,0.0,0,0,15355673667.0,0,,30.59731197771157
Adult Income,data_leakage,medium,7.142561114959474,0.0,0,0,13420288263.0,0,,30.462594563397563
Adult Income,data_leakage,high,7.142265087061804,0.0,0,0,11478721065.0,0,,30.3060259032929
Adult Income,redundant_features,low,0.0,0.0,0,1,0.0,0,,1.0
Adult Income,redundant_features,medium,0.0,0.0,0,2,0.0,0,,2.0
Adult Income,redundant_features,high,0.0,0.0,0,4,0.0,0,,4.0
Adult Income,annotator_bias,low,0.0,5.081022835592027,0,0,0.0,0,,5.081022835592027
Adult Income,annotator_bias,medium,0.0,10.38998715238924,0,0,0.0,0,,10.38998715238924
Adult Income,annotator_bias,high,0.0,15.72381781259066,0,0,0.0,0,,15.72381781259066
Adult Income,ambiguous_labels,low,0.0,4.998135024244685,0,0,0.0,0,,4.998135024244685
Adult Income,ambiguous_labels,medium,0.0,9.99627004848937,0,0,0.0,0,,9.99627004848937
Adult Income,ambiguous_labels,high,0.0,14.998549463301423,0,0,0.0,0,,14.998549463301423
Adult Income,domain_violations,low,2.089068873850672,0.0,0,0,1897892970.5,0,,23.453079019247312
Adult Income,domain_violations,medium,4.07008756505213,0.0,0,0,3518687567.5,0,,26.051441472224802
Adult Income,domain_violations,high,5.9670343333155715,0.0,0,0,5150111278.0,0,,28.329318492277
Adult Income,data_heterogeneity,low,0.5985684090868724,0.0,0,0,27217184.780118592,0,,17.717927570983885
Adult Income,data_heterogeneity,medium,7.142857142857142,0.0,0,0,14710201175.010427,0,,30.554664190462773
Adult Income,data_heterogeneity,high,0.5985684090868724,0.0,0,0,167359534.716006,0,,19.534223373760412
Adult Income,concept_drift,low,0.0,9.99627004848937,0,0,0.0,0,,9.99627004848937
Adult Income,concept_drift,medium,0.0,19.99668448754611,0,0,0.0,0,,19.99668448754611
Adult Income,concept_drift,high,0.0,29.997098926602845,0,0,0.0,0,,29.997098926602845
Adult Income,data_representativeness,low,,,-600,0,0.0,0,,600.0
Adult Income,data_representativeness,medium,,,-1201,0,0.0,0,,1201.0
Adult Income,data_representativeness,high,,,-1801,0,0.0,0,,1801.0
Adult Income,imbalanced_feature_distribution,low,4.9999111916307,0.0,0,0,253748254.34000692,0,,24.351764404419974
Adult Income,imbalanced_feature_distribution,medium,4.9999111916307,0.0,0,0,250887588.70987356,0,,24.340426738650642
Adult Income,imbalanced_feature_distribution,high,4.9999111916307,0.0,0,0,437431.16004116496,0,,17.988588101623982
Adult Income,provenance_issues,low,2.9552465024303887,0.0,0,0,191921028.18815845,0,,22.027841041501127
Adult Income,provenance_issues,medium,5.902204223726044,0.0,0,0,380156966.83920383,0,,25.65829902238054
Adult Income,provenance_issues,high,8.868995814165528,0.0,0,0,583052428.630887,0,,29.052783485193004
Adult Income,contextual_errors,low,2.0920291528273625,0.0,0,0,23015107495.229553,0,,25.95144583773507
Adult Income,contextual_errors,medium,4.09584199214934,0.0,0,0,43657942638.46527,0,,28.59549305678626
Adult Income,contextual_errors,high,5.968218444906248,0.0,0,0,63693954615.27837,0,,30.84557393594404
Adult Income,missing_values_mnar,low,8.923464947336637,0.0,0,0,415254596.0,0,,28.76786732417253
Adult Income,missing_values_mnar,medium,16.125231641829927,0.0,0,0,750314003.0,0,,36.56123399070589
Adult Income,missing_values_mnar,high,21.90576839961398,0.0,0,0,1005446287.0,0,,42.634465747164256
Adult Income,duplicates_targeted,low,,,1206,0,0.0,0,,1206.0
Adult Income,duplicates_targeted,medium,,,2412,0,0.0,0,,2412.0
Adult Income,duplicates_targeted,high,,,3619,0,0.0,0,,3619.0
Adult Income,outliers_targeted,low,0.42124769838309567,0.0,0,0,42942.577842851984,0,,11.088890088255642
Adult Income,outliers_targeted,medium,1.9961161139825816,0.0,0,0,209841.67065159354,0,,14.250229455527716
Adult Income,outliers_targeted,high,3.7059732509191665,0.0,0,0,390277.9881071255,0,,16.58059036740203
Adult Income,duplicates_minority,low,,,1206,0,0.0,0,,1206.0
Adult Income,duplicates_minority,medium,,,2412,0,0.0,0,,2412.0
Adult Income,duplicates_minority,high,,,3619,0,0.0,0,,3619.0
Adult Income,label_noise_asymmetric,low,0.0,4.998135024244685,0,0,0.0,0,,4.998135024244685
Adult Income,label_noise_asymmetric,medium,0.0,9.99627004848937,0,0,0.0,0,,9.99627004848937
Adult Income,label_noise_asymmetric,high,0.0,14.998549463301423,0,0,0.0,0,,14.998549463301423
Adult Income,feature_noise_targeted,low,14.285714285714285,0.0,0,0,26003.934810087932,0,,24.451755885096084
Adult Income,feature_noise_targeted,medium,14.285714285714285,0.0,0,0,78799.14533647001,0,,25.56038440593
Adult Income,feature_noise_targeted,high,14.285714285714285,0.0,0,0,129492.44900138838,0,,26.05709985769459
Bank Marketing,missing_values,low,9.526031298385313,0.0,0,0,6057705.0,0,,25.142873036908696
Bank Marketing,missing_values,medium,18.086084383985842,0.0,0,0,12124027.0,0,,34.39678421061183
Bank Marketing,missing_values,high,25.940057509400578,0.0,0,0,16119772.0,0,,42.53561472245833
Bank Marketing,label_noise,low,0.0,4.99889404998894,0,0,0.0,0,,4.99889404998894
Bank Marketing,label_noise,medium,0.0,9.99778809997788,0,0,0.0,0,,9.99778809997788
Bank Marketing,label_noise,high,0.0,14.999447024994469,0,0,0.0,0,,14.999447024994469
Bank Marketing,duplicates,low,,,1808,0,0.0,0,,1808.0
Bank Marketing,duplicates,medium,,,3616,0,0.0,0,,3616.0
Bank Marketing,duplicates,high,,,5425,0,0.0,0,,5425.0
Bank Marketing,outliers,low,0.4366774496792745,0.0,0,0,5029300.617281668,0,,15.867469138632778
Bank Marketing,outliers,medium,2.1870161468701617,0.0,0,0,25081711.884985916,0,,19.224665715116547
Bank Marketing,outliers,high,4.374032293740323,0.0,0,0,50362187.084557444,0,,22.108783508796233
Bank Marketing,invalid_values,low,0.8313633598761336,0.0,0,0,18731506.0,0,,17.577080890216173
Bank Marketing,invalid_values,medium,2.040823379783234,0.0,0,0,45575485.0,0,,19.675703921996462
Bank Marketing,invalid_values,high,3.9964540477770405,0.0,0,0,90861028.0,0,,22.321295791124005
Bank Marketing,class_imbalance,low,,,-423,0,0.0,0,,423.0
Bank Marketing,class_imbalance,medium,,,-1057,0,0.0,0,,1057.0
Bank Marketing,class_imbalance,high,,,-1692,0,0.0,0,,1692.0
Bank Marketing,feature_noise,low,43.75,0.0,0,0,5000561.036239549,0,,59.175060871329066
Bank Marketing,feature_noise,medium,43.75,0.0,0,0,14928365.711864835,0,,60.26877376713898
Bank Marketing,feature_noise,high,43.75,0.0,0,0,24854197.131194238,0,,60.7785372351194
Bank Marketing,categorical_errors,low,2.700937292634373,0.0,0,0,0.0,0,,2.700937292634373
Bank Marketing,categorical_errors,medium,5.214554302145543,0.0,0,0,0.0,0,,5.214554302145543
Bank Marketing,categorical_errors,high,7.514584715770847,0.0,0,0,0.0,0,,7.514584715770847
Bank Marketing,data_inconsistency,low,0.6200232249502322,0.0,0,0,1394814.0,0,,14.768295572906036
Bank Marketing,data_inconsistency,medium,1.2417744967927449,0.0,0,0,3191508.0,0,,16.217778900457617
Bank Marketing,data_inconsistency,high,1.8621433311214333,0.0,0,0,5286394.0,0,,17.34279042816648
Bank Marketing,typographical_errors,low,2.7202914178279145,0.0,0,0,0.0,0,,2.7202914178279145
Bank Marketing,typographical_errors,medium,5.300438232691882,0.0,0,0,0.0,0,,5.300438232691882
Bank Marketing,typographical_errors,high,7.764633101083832,0.0,0,0,0.0,0,,7.764633101083832
Bank Marketing,data_drift,low,4.374032293740323,0.0,0,0,6241795.536159068,0,,20.020810899084577
Bank Marketing,data_drift,medium,8.749274220305242,0.0,0,0,12485317.232588092,0,,25.08933819087049
Bank Marketing,data_drift,high,13.12451614687016,0.0,0,0,18728838.929017115,0,,29.870091282854247
Bank Marketing,data_leakage,low,6.2487903671754035,0.0,0,0,1259618.0,0,,20.295110219424345
Bank Marketing,data_leakage,medium,6.248963171864632,0.0,0,0,1131242.0,0,,20.187790757996456
Bank Marketing,data_leakage,high,6.249481585932315,0.0,0,0,1000079.0,0,,20.06507214069676
Bank Marketing,redundant_features,low,0.0,0.0,0,1,0.0,0,,1.0
Bank Marketing,redundant_features,medium,0.0,0.0,0,3,0.0,0,,3.0
Bank Marketing,redundant_features,high,0.0,0.0,0,4,0.0,0,,4.0
Bank Marketing,annotator_bias,low,0.0,5.37768192877682,0,0,0.0,0,,5.37768192877682
Bank Marketing,annotator_bias,medium,0.0,10.15538597655386,0,0,0.0,0,,10.15538597655386
Bank Marketing,annotator_bias,high,0.0,15.870382658703827,0,0,0.0,0,,15.870382658703827
Bank Marketing,ambiguous_labels,low,0.0,4.99889404998894,0,0,0.0,0,,4.99889404998894
Bank Marketing,ambiguous_labels,medium,0.0,9.99778809997788,0,0,0.0,0,,9.99778809997788
Bank Marketing,ambiguous_labels,high,0.0,14.999447024994469,0,0,0.0,0,,14.999447024994469
Bank Marketing,domain_violations,low,2.134137911966379,0.0,0,0,207933366.0,0,,21.286866147347105
Bank Marketing,domain_violations,medium,4.164074596328246,0.0,0,0,401265001.5,0,,23.974207217445876
Bank Marketing,domain_violations,high,6.093611756248618,0.0,0,0,589199491.0,0,,26.28788713661498
Bank Marketing,data_heterogeneity,low,6.25,0.0,0,0,13287476.935942058,0,,22.652332641118605
Bank Marketing,data_heterogeneity,medium,6.25,0.0,0,0,4797210.619639801,0,,21.633545394507994
Bank Marketing,data_heterogeneity,high,12.499654390621544,0.0,0,0,69219197.34660137,0,,30.552443205486448
Bank Marketing,concept_drift,low,0.0,9.99778809997788,0,0,0.0,0,,9.99778809997788
Bank Marketing,concept_drift,medium,0.0,19.99834107498341,0,0,0.0,0,,19.99834107498341
Bank Marketing,concept_drift,high,0.0,29.998894049988937,0,0,0.0,0,,29.998894049988937
